z    mass    j
10.067089   10000000000.0   6.587e+01
10.067089   31622776601.683792   7.821e+01
10.067089   100000000000.0   1.058e+02
10.067089   316227766016.83795   1.910e+02
10.067089   1000000000000.0   5.994e+02
10.067089   100000.0   5.059e+01
10.067089   316227.7660168379   5.073e+01
10.067089   1000000.0   5.092e+01
10.067089   3162277.6601683795   5.118e+01
10.067089   10000000.0   5.204e+01
10.067089   31622776.60168379   5.256e+01
10.067089   100000000.0   5.334e+01
10.067089   316227766.01683795   5.449e+01
10.067089   1000000000.0   5.616e+01
10.067089   3162277660.1683793   5.977e+01
10.237849   10000000000.0   6.723e+01
10.237849   31622776601.683792   8.091e+01
10.237849   100000000000.0   1.128e+02
10.237849   316227766016.83795   2.157e+02
10.237849   1000000000000.0   7.244e+02
10.237849   100000.0   5.091e+01
10.237849   316227.7660168379   5.107e+01
10.237849   1000000.0   5.127e+01
10.237849   3162277.6601683795   5.153e+01
10.237849   10000000.0   5.190e+01
10.237849   31622776.60168379   5.245e+01
10.237849   100000000.0   5.328e+01
10.237849   316227766.01683795   5.504e+01
10.237849   1000000000.0   5.686e+01
10.237849   3162277660.1683793   6.069e+01
10.411226   10000000000.0   6.928e+01
10.411226   31622776601.683792   8.474e+01
10.411226   100000000000.0   1.206e+02
10.411226   316227766016.83795   2.430e+02
10.411226   1000000000000.0   9.065e+02
10.411226   100000.0   5.113e+01
10.411226   316227.7660168379   5.130e+01
10.411226   1000000.0   5.151e+01
10.411226   3162277.6601683795   5.179e+01
10.411226   10000000.0   5.218e+01
10.411226   31622776.60168379   5.277e+01
10.411226   100000000.0   5.366e+01
10.411226   316227766.01683795   5.497e+01
10.411226   1000000000.0   5.748e+01
10.411226   3162277660.1683793   6.156e+01
10.587351   10000000000.0   7.075e+01
10.587351   31622776601.683792   8.809e+01
10.587351   100000000000.0   1.306e+02
10.587351   316227766016.83795   2.761e+02
10.587351   1000000000000.0   1.110e+03
10.587351   100000.0   5.076e+01
10.587351   316227.7660168379   5.093e+01
10.587351   1000000.0   5.115e+01
10.587351   3162277.6601683795   5.196e+01
10.587351   10000000.0   5.237e+01
10.587351   31622776.60168379   5.300e+01
10.587351   100000000.0   5.396e+01
10.587351   316227766.01683795   5.537e+01
10.587351   1000000000.0   5.805e+01
10.587351   3162277660.1683793   6.240e+01
10.76609   10000000000.0   7.232e+01
10.76609   31622776601.683792   9.191e+01
10.76609   100000000000.0   1.409e+02
10.76609   316227766016.83795   3.173e+02
10.76609   1000000000000.0   1.395e+03
10.76609   100000.0   5.085e+01
10.76609   316227.7660168379   5.102e+01
10.76609   1000000.0   5.125e+01
10.76609   3162277.6601683795   5.156e+01
10.76609   10000000.0   5.200e+01
10.76609   31622776.60168379   5.266e+01
10.76609   100000000.0   5.367e+01
10.76609   316227766.01683795   5.573e+01
10.76609   1000000000.0   5.802e+01
10.76609   3162277660.1683793   6.324e+01
10.947717   10000000000.0   7.398e+01
10.947717   31622776601.683792   9.594e+01
10.947717   100000000000.0   1.531e+02
10.947717   316227766016.83795   3.685e+02
10.947717   1000000000000.0   1.749e+03
10.947717   100000.0   5.084e+01
10.947717   316227.7660168379   5.102e+01
10.947717   1000000.0   5.126e+01
10.947717   3162277.6601683795   5.159e+01
10.947717   10000000.0   5.205e+01
10.947717   31622776.60168379   5.275e+01
10.947717   100000000.0   5.384e+01
10.947717   316227766.01683795   5.547e+01
10.947717   1000000000.0   5.850e+01
10.947717   3162277660.1683793   6.406e+01
11.132094   10000000000.0   7.652e+01
11.132094   31622776601.683792   1.014e+02
11.132094   100000000000.0   1.676e+02
11.132094   316227766016.83795   4.328e+02
11.132094   1000000000000.0   2.183e+03
11.132094   100000.0   5.021e+01
11.132094   316227.7660168379   5.040e+01
11.132094   1000000.0   5.116e+01
11.132094   3162277.6601683795   5.150e+01
11.132094   10000000.0   5.199e+01
11.132094   31622776.60168379   5.274e+01
11.132094   100000000.0   5.391e+01
11.132094   316227766.01683795   5.568e+01
11.132094   1000000000.0   5.892e+01
11.132094   3162277660.1683793   6.485e+01
11.319216   10000000000.0   7.850e+01
11.319216   31622776601.683792   1.067e+02
11.319216   100000000000.0   1.843e+02
11.319216   316227766016.83795   5.132e+02
11.319216   1000000000000.0   2.766e+03
11.319216   100000.0   5.003e+01
11.319216   316227.7660168379   5.023e+01
11.319216   1000000.0   5.049e+01
11.319216   3162277.6601683795   5.084e+01
11.319216   10000000.0   5.135e+01
11.319216   31622776.60168379   5.215e+01
11.319216   100000000.0   5.338e+01
11.319216   316227766.01683795   5.582e+01
11.319216   1000000000.0   5.930e+01
11.319216   3162277660.1683793   6.567e+01
11.509226   10000000000.0   8.066e+01
11.509226   31622776601.683792   1.128e+02
11.509226   100000000000.0   2.069e+02
11.509226   316227766016.83795   6.029e+02
11.509226   1000000000000.0   3.511e+03
11.509226   100000.0   4.977e+01
11.509226   316227.7660168379   4.998e+01
11.509226   1000000.0   5.025e+01
11.509226   3162277.6601683795   5.062e+01
11.509226   10000000.0   5.116e+01
11.509226   31622776.60168379   5.201e+01
11.509226   100000000.0   5.334e+01
11.509226   316227766.01683795   5.592e+01
11.509226   1000000000.0   5.966e+01
11.509226   3162277660.1683793   6.653e+01
11.702284   10000000000.0   8.381e+01
11.702284   31622776601.683792   1.199e+02
11.702284   100000000000.0   2.327e+02
11.702284   316227766016.83795   7.180e+02
11.702284   1000000000000.0   4.533e+03
11.702284   100000.0   4.939e+01
11.702284   316227.7660168379   4.961e+01
11.702284   1000000.0   4.989e+01
11.702284   3162277.6601683795   5.029e+01
11.702284   10000000.0   5.086e+01
11.702284   31622776.60168379   5.176e+01
11.702284   100000000.0   5.320e+01
11.702284   316227766.01683795   5.539e+01
11.702284   1000000000.0   5.996e+01
11.702284   3162277660.1683793   6.738e+01
11.898233   10000000000.0   8.653e+01
11.898233   31622776601.683792   1.293e+02
11.898233   100000000000.0   2.616e+02
11.898233   316227766016.83795   8.734e+02
11.898233   1000000000000.0   5.976e+03
11.898233   100000.0   4.844e+01
11.898233   316227.7660168379   4.866e+01
11.898233   1000000.0   4.896e+01
11.898233   3162277.6601683795   4.936e+01
11.898233   10000000.0   4.996e+01
11.898233   31622776.60168379   5.091e+01
11.898233   100000000.0   5.296e+01
11.898233   316227766.01683795   5.535e+01
11.898233   1000000000.0   6.022e+01
11.898233   3162277660.1683793   6.825e+01
12.097405   10000000000.0   8.970e+01
12.097405   31622776601.683792   1.392e+02
12.097405   100000000000.0   2.953e+02
12.097405   316227766016.83795   1.053e+03
12.097405   1000000000000.0   7.919e+03
12.097405   100000.0   4.793e+01
12.097405   316227.7660168379   4.816e+01
12.097405   1000000.0   4.846e+01
12.097405   3162277.6601683795   4.889e+01
12.097405   10000000.0   4.952e+01
12.097405   31622776.60168379   5.054e+01
12.097405   100000000.0   5.217e+01
12.097405   316227766.01683795   5.527e+01
12.097405   1000000000.0   5.990e+01
12.097405   3162277660.1683793   6.995e+01
12.299464   10000000000.0   9.415e+01
12.299464   31622776601.683792   1.512e+02
12.299464   100000000000.0   3.372e+02
12.299464   316227766016.83795   1.293e+03
12.299464   1000000000000.0   1.070e+04
12.299464   100000.0   4.731e+01
12.299464   316227.7660168379   4.755e+01
12.299464   1000000.0   4.787e+01
12.299464   3162277.6601683795   4.832e+01
12.299464   10000000.0   4.898e+01
12.299464   31622776.60168379   5.007e+01
12.299464   100000000.0   5.183e+01
12.299464   316227766.01683795   5.514e+01
12.299464   1000000000.0   6.014e+01
12.299464   3162277660.1683793   7.103e+01
12.504571   10000000000.0   9.836e+01
12.504571   31622776601.683792   1.635e+02
12.504571   100000000000.0   3.874e+02
12.504571   316227766016.83795   1.617e+03
12.504571   1000000000000.0   1.440e+04
12.504571   100000.0   4.613e+01
12.504571   316227.7660168379   4.637e+01
12.504571   1000000.0   4.670e+01
12.504571   3162277.6601683795   4.716e+01
12.504571   10000000.0   4.786e+01
12.504571   31622776.60168379   4.950e+01
12.504571   100000000.0   5.140e+01
12.504571   316227766.01683795   5.440e+01
12.504571   1000000000.0   6.037e+01
12.504571   3162277660.1683793   7.224e+01
12.713095   10000000000.0   1.033e+02
12.713095   31622776601.683792   1.787e+02
12.713095   100000000000.0   4.490e+02
12.713095   316227766016.83795   2.023e+03
12.713095   1000000000000.0   1.923e+04
12.713095   100000.0   4.534e+01
12.713095   316227.7660168379   4.559e+01
12.713095   1000000.0   4.594e+01
12.713095   3162277.6601683795   4.642e+01
12.713095   10000000.0   4.716e+01
12.713095   31622776.60168379   4.838e+01
12.713095   100000000.0   5.090e+01
12.713095   316227766.01683795   5.417e+01
12.713095   1000000000.0   6.061e+01
12.713095   3162277660.1683793   7.437e+01
12.924668   10000000000.0   1.090e+02
12.924668   31622776601.683792   1.991e+02
12.924668   100000000000.0   5.270e+02
12.924668   316227766016.83795   2.573e+03
12.924668   1000000000000.0   2.577e+04
12.924668   100000.0   4.451e+01
12.924668   316227.7660168379   4.477e+01
12.924668   1000000.0   4.513e+01
12.924668   3162277.6601683795   4.563e+01
12.924668   10000000.0   4.641e+01
12.924668   31622776.60168379   4.773e+01
12.924668   100000000.0   4.990e+01
12.924668   316227766.01683795   5.395e+01
12.924668   1000000000.0   6.152e+01
12.924668   3162277660.1683793   7.604e+01
13.139472   10000000000.0   1.164e+02
13.139472   31622776601.683792   2.207e+02
13.139472   100000000000.0   6.271e+02
13.139472   316227766016.83795   3.231e+03
13.139472   1000000000000.0   3.515e+04
13.139472   100000.0   4.313e+01
13.139472   316227.7660168379   4.339e+01
13.139472   1000000.0   4.375e+01
13.139472   3162277.6601683795   4.428e+01
13.139472   10000000.0   4.554e+01
13.139472   31622776.60168379   4.695e+01
13.139472   100000000.0   4.931e+01
13.139472   316227766.01683795   5.366e+01
13.139472   1000000000.0   6.184e+01
13.139472   3162277660.1683793   7.793e+01
13.357708   10000000000.0   1.240e+02
13.357708   31622776601.683792   2.471e+02
13.357708   100000000000.0   7.557e+02
13.357708   316227766016.83795   4.061e+03
13.357708   1000000000000.0   4.936e+04
13.357708   100000.0   4.212e+01
13.357708   316227.7660168379   4.240e+01
13.357708   1000000.0   4.277e+01
13.357708   3162277.6601683795   4.332e+01
13.357708   10000000.0   4.418e+01
13.357708   31622776.60168379   4.567e+01
13.357708   100000000.0   4.868e+01
13.357708   316227766.01683795   5.337e+01
13.357708   1000000000.0   6.227e+01
13.357708   3162277660.1683793   8.021e+01
13.579172   10000000000.0   1.331e+02
13.579172   31622776601.683792   2.793e+02
13.579172   100000000000.0   9.069e+02
13.579172   316227766016.83795   5.171e+03
13.579172   1000000000000.0   6.859e+04
13.579172   100000.0   4.107e+01
13.579172   316227.7660168379   4.135e+01
13.579172   1000000.0   4.174e+01
13.579172   3162277.6601683795   4.231e+01
13.579172   10000000.0   4.322e+01
13.579172   31622776.60168379   4.482e+01
13.579172   100000000.0   4.800e+01
13.579172   316227766.01683795   5.308e+01
13.579172   1000000000.0   6.277e+01
13.579172   3162277660.1683793   8.360e+01
13.804068   10000000000.0   1.438e+02
13.804068   31622776601.683792   3.190e+02
13.804068   100000000000.0   1.088e+03
13.804068   316227766016.83795   6.679e+03
13.804068   1000000000000.0   9.958e+04
13.804068   100000.0   3.994e+01
13.804068   316227.7660168379   4.023e+01
13.804068   1000000.0   4.063e+01
13.804068   3162277.6601683795   4.123e+01
13.804068   10000000.0   4.219e+01
13.804068   31622776.60168379   4.391e+01
13.804068   100000000.0   4.685e+01
13.804068   316227766.01683795   5.281e+01
13.804068   1000000000.0   6.342e+01
13.804068   3162277660.1683793   8.669e+01
14.032621   10000000000.0   1.564e+02
14.032621   31622776601.683792   3.674e+02
14.032621   100000000000.0   1.316e+03
14.032621   316227766016.83795   8.788e+03
14.032621   1000000000000.0   1.508e+05
14.032621   100000.0   3.835e+01
14.032621   316227.7660168379   3.865e+01
14.032621   1000000.0   3.906e+01
14.032621   3162277.6601683795   3.968e+01
14.032621   10000000.0   4.068e+01
14.032621   31622776.60168379   4.293e+01
14.032621   100000000.0   4.613e+01
14.032621   316227766.01683795   5.255e+01
14.032621   1000000000.0   6.421e+01
14.032621   3162277660.1683793   9.030e+01
14.264379   10000000000.0   1.718e+02
14.264379   31622776601.683792   4.215e+02
14.264379   100000000000.0   1.608e+03
14.264379   316227766016.83795   1.160e+04
14.264379   1000000000000.0   2.102e+05
14.264379   100000.0   3.711e+01
14.264379   316227.7660168379   3.741e+01
14.264379   1000000.0   3.784e+01
14.264379   3162277.6601683795   3.849e+01
14.264379   10000000.0   3.955e+01
14.264379   31622776.60168379   4.150e+01
14.264379   100000000.0   4.539e+01
14.264379   316227766.01683795   5.182e+01
14.264379   1000000000.0   6.583e+01
14.264379   3162277660.1683793   9.462e+01
5.090987   10000000000.0   1.811e+01
5.090987   31622776601.683792   1.850e+01
5.090987   100000000000.0   1.895e+01
5.090987   316227766016.83795   1.975e+01
5.090987   1000000000000.0   1.980e+01
5.090987   100000.0   1.755e+01
5.090987   316227.7660168379   1.756e+01
5.090987   1000000.0   1.758e+01
5.090987   3162277.6601683795   1.760e+01
5.090987   10000000.0   1.762e+01
5.090987   31622776.60168379   1.765e+01
5.090987   100000000.0   1.770e+01
5.090987   316227766.01683795   1.776e+01
5.090987   1000000000.0   1.784e+01
5.090987   3162277660.1683793   1.796e+01
5.18498   10000000000.0   1.906e+01
5.18498   31622776601.683792   1.929e+01
5.18498   100000000000.0   1.977e+01
5.18498   316227766016.83795   2.080e+01
5.18498   1000000000000.0   2.087e+01
5.18498   100000.0   1.845e+01
5.18498   316227.7660168379   1.846e+01
5.18498   1000000.0   1.848e+01
5.18498   3162277.6601683795   1.850e+01
5.18498   10000000.0   1.853e+01
5.18498   31622776.60168379   1.856e+01
5.18498   100000000.0   1.861e+01
5.18498   316227766.01683795   1.868e+01
5.18498   1000000000.0   1.877e+01
5.18498   3162277660.1683793   1.889e+01
5.280421   10000000000.0   2.004e+01
5.280421   31622776601.683792   2.029e+01
5.280421   100000000000.0   2.080e+01
5.280421   316227766016.83795   2.188e+01
5.280421   1000000000000.0   2.176e+01
5.280421   100000.0   1.918e+01
5.280421   316227.7660168379   1.920e+01
5.280421   1000000.0   1.922e+01
5.280421   3162277.6601683795   1.924e+01
5.280421   10000000.0   1.927e+01
5.280421   31622776.60168379   1.931e+01
5.280421   100000000.0   1.936e+01
5.280421   316227766.01683795   1.943e+01
5.280421   1000000000.0   1.953e+01
5.280421   3162277660.1683793   1.986e+01
5.377307   10000000000.0   2.085e+01
5.377307   31622776601.683792   2.133e+01
5.377307   100000000000.0   2.188e+01
5.377307   316227766016.83795   2.256e+01
5.377307   1000000000000.0   2.291e+01
5.377307   100000.0   2.013e+01
5.377307   316227.7660168379   2.015e+01
5.377307   1000000.0   2.017e+01
5.377307   3162277.6601683795   2.019e+01
5.377307   10000000.0   2.023e+01
5.377307   31622776.60168379   2.027e+01
5.377307   100000000.0   2.033e+01
5.377307   316227766.01683795   2.041e+01
5.377307   1000000000.0   2.051e+01
5.377307   3162277660.1683793   2.066e+01
5.475719   10000000000.0   2.190e+01
5.475719   31622776601.683792   2.218e+01
5.475719   100000000000.0   2.298e+01
5.475719   316227766016.83795   2.370e+01
5.475719   1000000000000.0   2.409e+01
5.475719   100000.0   2.111e+01
5.475719   316227.7660168379   2.113e+01
5.475719   1000000.0   2.115e+01
5.475719   3162277.6601683795   2.118e+01
5.475719   10000000.0   2.121e+01
5.475719   31622776.60168379   2.126e+01
5.475719   100000000.0   2.132e+01
5.475719   316227766.01683795   2.141e+01
5.475719   1000000000.0   2.152e+01
5.475719   3162277660.1683793   2.168e+01
5.575616   10000000000.0   2.297e+01
5.575616   31622776601.683792   2.328e+01
5.575616   100000000000.0   2.413e+01
5.575616   316227766016.83795   2.464e+01
5.575616   1000000000000.0   2.532e+01
5.575616   100000.0   2.190e+01
5.575616   316227.7660168379   2.191e+01
5.575616   1000000.0   2.194e+01
5.575616   3162277.6601683795   2.197e+01
5.575616   10000000.0   2.200e+01
5.575616   31622776.60168379   2.205e+01
5.575616   100000000.0   2.212e+01
5.575616   316227766.01683795   2.221e+01
5.575616   1000000000.0   2.234e+01
5.575616   3162277660.1683793   2.273e+01
5.677083   10000000000.0   2.383e+01
5.677083   31622776601.683792   2.442e+01
5.677083   100000000000.0   2.531e+01
5.677083   316227766016.83795   2.585e+01
5.677083   1000000000000.0   2.633e+01
5.677083   100000.0   2.292e+01
5.677083   316227.7660168379   2.294e+01
5.677083   1000000.0   2.296e+01
5.677083   3162277.6601683795   2.299e+01
5.677083   10000000.0   2.303e+01
5.677083   31622776.60168379   2.309e+01
5.677083   100000000.0   2.316e+01
5.677083   316227766.01683795   2.326e+01
5.677083   1000000000.0   2.340e+01
5.677083   3162277660.1683793   2.358e+01
5.780121   10000000000.0   2.496e+01
5.780121   31622776601.683792   2.558e+01
5.780121   100000000000.0   2.652e+01
5.780121   316227766016.83795   2.710e+01
5.780121   1000000000000.0   2.763e+01
5.780121   100000.0   2.396e+01
5.780121   316227.7660168379   2.398e+01
5.780121   1000000.0   2.401e+01
